,id_student,gender,region,highest_education,age_band,disability,final_result,score
117,260355,F,London Region,A Level or Equivalent,35-55,N,Withdrawn,58.0
118,260355,F,London Region,A Level or Equivalent,35-55,N,Withdrawn,58.0
119,262011,M,East Midlands Region,A Level or Equivalent,35-55,N,Pass,71.0
120,262934,F,North Western Region,A Level or Equivalent,35-55,N,Pass,77.0
121,268073,M,East Anglian Region,A Level or Equivalent,35-55,N,Fail,75.0
122,268733,M,East Anglian Region,A Level or Equivalent,0-35,N,Withdrawn,43.0
123,268733,M,East Anglian Region,A Level or Equivalent,0-35,N,Fail,43.0
124,271251,M,Scotland,A Level or Equivalent,35-55,N,Pass,77.0
125,277880,F,South East Region,A Level or Equivalent,0-35,N,Withdrawn,68.0
126,277880,F,South East Region,A Level or Equivalent,0-35,N,Withdrawn,68.0
127,279572,M,London Region,Lower Than A Level,0-35,N,Distinction,80.0
128,281022,F,Scotland,A Level or Equivalent,0-35,N,Pass,74.0
129,281250,M,Wales,Lower Than A Level,35-55,N,Fail,56.0
130,282821,M,South West Region,A Level or Equivalent,35-55,N,Pass,61.0
131,286488,M,South East Region,A Level or Equivalent,35-55,N,Pass,71.0
132,287548,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,68.0
133,290201,M,Wales,A Level or Equivalent,0-35,N,Pass,71.0
134,290757,M,North Western Region,A Level or Equivalent,0-35,N,Pass,75.0
135,291334,M,South East Region,A Level or Equivalent,35-55,N,Distinction,84.0
136,293699,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,47.0
137,294570,M,South East Region,HE Qualification,55<=,N,Pass,79.0
138,294594,M,South East Region,A Level or Equivalent,0-35,N,Pass,53.0
139,295741,M,South East Region,A Level or Equivalent,35-55,N,Fail,71.0
140,295741,M,South East Region,A Level or Equivalent,35-55,N,Pass,71.0
141,296332,M,South Region,Post Graduate Qualification,55<=,N,Distinction,87.0
142,298696,F,South East Region,HE Qualification,0-35,N,Pass,81.0
143,300398,M,West Midlands Region,A Level or Equivalent,35-55,N,Pass,79.0
144,302302,F,East Anglian Region,A Level or Equivalent,0-35,N,Fail,59.0
145,305152,M,North Western Region,A Level or Equivalent,0-35,N,Fail,64.0
146,305386,M,West Midlands Region,A Level or Equivalent,0-35,Y,Pass,78.0
147,306107,M,West Midlands Region,A Level or Equivalent,35-55,N,Pass,59.0
148,306466,M,East Anglian Region,A Level or Equivalent,35-55,N,Pass,82.0
149,306897,F,London Region,A Level or Equivalent,0-35,N,Pass,63.0
150,307061,F,East Midlands Region,HE Qualification,0-35,N,Pass,82.0
151,307866,M,West Midlands Region,A Level or Equivalent,0-35,N,Pass,60.0
152,311917,M,South West Region,A Level or Equivalent,55<=,N,Pass,60.0
153,312537,M,South Region,Post Graduate Qualification,55<=,N,Distinction,88.0
154,312782,M,South Region,A Level or Equivalent,0-35,N,Pass,62.0
155,318933,F,East Anglian Region,HE Qualification,0-35,N,Pass,67.0
156,319047,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,79.0
157,321942,M,South Region,HE Qualification,55<=,N,Pass,81.0
158,324002,M,East Anglian Region,HE Qualification,35-55,N,Pass,81.0
159,324084,F,South West Region,A Level or Equivalent,35-55,N,Pass,58.0
160,324282,M,South East Region,A Level or Equivalent,0-35,N,Pass,62.0
161,331358,F,South Region,HE Qualification,35-55,N,Withdrawn,85.0
162,331358,F,South Region,HE Qualification,35-55,N,Distinction,85.0
163,332789,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,75.0
164,333059,M,Scotland,A Level or Equivalent,0-35,N,Pass,66.0
165,333323,M,Scotland,HE Qualification,0-35,N,Pass,75.0
166,334259,F,London Region,A Level or Equivalent,0-35,N,Fail,53.0
167,334333,F,South West Region,A Level or Equivalent,0-35,Y,Withdrawn,36.0
168,335764,F,South East Region,A Level or Equivalent,0-35,N,Withdrawn,87.0
169,335764,F,South East Region,A Level or Equivalent,0-35,N,Pass,87.0
170,336207,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,69.0
171,339972,M,North Region,A Level or Equivalent,0-35,N,Pass,50.0
172,341872,M,East Anglian Region,Lower Than A Level,0-35,N,Fail,65.0
173,342007,F,West Midlands Region,HE Qualification,0-35,N,Withdrawn,83.0
174,342007,F,West Midlands Region,HE Qualification,0-35,N,Pass,83.0
175,342514,M,Scotland,Lower Than A Level,55<=,N,Pass,78.0
176,342972,M,Yorkshire Region,HE Qualification,0-35,N,Pass,61.0
177,343446,M,Ireland,HE Qualification,35-55,N,Pass,79.0
178,344282,M,Yorkshire Region,A Level or Equivalent,0-35,N,Fail,50.0
179,345068,M,East Anglian Region,A Level or Equivalent,0-35,Y,Pass,78.0
180,345357,M,Yorkshire Region,A Level or Equivalent,0-35,N,Distinction,81.0
181,346025,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,83.0
182,350188,M,North Western Region,HE Qualification,35-55,N,Pass,74.0
183,357668,M,Yorkshire Region,A Level or Equivalent,0-35,N,Fail,57.0
184,364177,M,East Anglian Region,Lower Than A Level,35-55,N,Fail,69.0
185,365244,F,London Region,A Level or Equivalent,0-35,N,Pass,57.0
186,365642,M,East Anglian Region,Lower Than A Level,35-55,N,Pass,70.0
187,366483,M,South West Region,HE Qualification,0-35,N,Pass,77.0
188,368194,F,South West Region,A Level or Equivalent,0-35,Y,Pass,51.0
189,368824,M,Wales,HE Qualification,35-55,N,Fail,56.0
190,368963,M,Yorkshire Region,Lower Than A Level,0-35,N,Pass,67.0
191,376439,M,North Region,HE Qualification,0-35,N,Distinction,87.0
192,376581,F,South Region,A Level or Equivalent,35-55,N,Pass,73.0
193,380953,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,68.0
194,383254,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,76.0
195,386924,M,Ireland,Lower Than A Level,0-35,N,Pass,68.0
196,386952,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,68.0
197,388722,F,London Region,Lower Than A Level,35-55,N,Pass,64.0
198,388885,M,South West Region,A Level or Equivalent,35-55,N,Pass,61.0
199,390890,M,Scotland,A Level or Equivalent,0-35,N,Withdrawn,69.0
200,390890,M,Scotland,A Level or Equivalent,0-35,N,Pass,69.0
201,392756,M,West Midlands Region,A Level or Equivalent,0-35,N,Fail,45.0
202,392931,F,North Western Region,A Level or Equivalent,35-55,N,Pass,69.0
203,393207,M,North Western Region,A Level or Equivalent,0-35,N,Pass,75.0
204,396872,M,Yorkshire Region,HE Qualification,0-35,N,Pass,62.0
205,398552,M,Yorkshire Region,Lower Than A Level,0-35,N,Fail,47.0
206,401869,F,South East Region,Lower Than A Level,0-35,N,Pass,65.0
207,402470,M,South West Region,Lower Than A Level,35-55,N,Pass,73.0
208,404804,M,Wales,Lower Than A Level,35-55,N,Pass,44.0
209,405088,M,North Region,A Level or Equivalent,0-35,N,Pass,78.0
210,414117,M,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,77.0
211,415969,M,West Midlands Region,HE Qualification,35-55,N,Withdrawn,60.0
212,415969,M,West Midlands Region,HE Qualification,35-55,N,Fail,60.0
213,420087,M,Scotland,A Level or Equivalent,0-35,Y,Fail,76.0
214,429958,F,North Western Region,A Level or Equivalent,0-35,N,Pass,59.0
215,441018,F,South East Region,A Level or Equivalent,0-35,N,Pass,60.0
216,441888,M,London Region,A Level or Equivalent,0-35,N,Pass,71.0
217,442442,M,South West Region,HE Qualification,0-35,N,Withdrawn,41.0
218,444677,M,London Region,HE Qualification,0-35,N,Distinction,88.0
219,470588,M,South East Region,HE Qualification,35-55,N,Withdrawn,80.0
220,470588,M,South East Region,HE Qualification,35-55,N,Withdrawn,80.0
221,489455,F,South West Region,A Level or Equivalent,0-35,N,Pass,71.0
222,495284,M,South East Region,HE Qualification,0-35,N,Pass,67.0
223,498857,M,North Western Region,HE Qualification,35-55,N,Pass,73.0
224,508818,M,London Region,A Level or Equivalent,0-35,N,Pass,72.0
225,512460,M,South East Region,HE Qualification,0-35,N,Pass,73.0
226,544103,M,North Western Region,HE Qualification,0-35,N,Pass,81.0
227,550383,M,South East Region,HE Qualification,0-35,N,Pass,72.0
228,564450,M,West Midlands Region,HE Qualification,0-35,N,Fail,60.0
229,568601,F,Scotland,HE Qualification,0-35,N,Withdrawn,82.0
230,572652,M,West Midlands Region,HE Qualification,0-35,N,Pass,74.0
231,580389,M,Ireland,HE Qualification,0-35,N,Pass,72.0
232,581129,M,East Anglian Region,A Level or Equivalent,0-35,N,Fail,40.0
233,588775,M,South West Region,A Level or Equivalent,0-35,N,Pass,83.0
234,591774,M,South Region,Post Graduate Qualification,35-55,N,Pass,77.0
235,603861,M,North Region,HE Qualification,55<=,N,Withdrawn,63.0
236,603861,M,North Region,HE Qualification,55<=,N,Withdrawn,63.0
237,606143,M,Scotland,Post Graduate Qualification,35-55,N,Fail,66.0
238,704156,M,South Region,HE Qualification,55<=,N,Pass,66.0
239,705379,M,West Midlands Region,A Level or Equivalent,55<=,N,Distinction,81.0
240,721259,F,South Region,Lower Than A Level,55<=,N,Withdrawn,65.0
241,721259,F,South Region,Lower Than A Level,55<=,N,Withdrawn,65.0
242,749412,M,South Region,Lower Than A Level,55<=,N,Pass,72.0
243,760729,M,West Midlands Region,A Level or Equivalent,55<=,N,Distinction,82.0
244,905042,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,77.0
245,949618,F,South West Region,A Level or Equivalent,35-55,N,Pass,62.0
246,958987,M,North Western Region,HE Qualification,35-55,N,Pass,78.0
247,968578,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,72.0
248,969076,M,South West Region,A Level or Equivalent,35-55,N,Withdrawn,60.0
249,971027,F,West Midlands Region,HE Qualification,35-55,N,Pass,68.0
250,978739,M,South Region,HE Qualification,35-55,N,Pass,57.0
251,1035023,F,London Region,Lower Than A Level,35-55,N,Pass,70.0
252,1105478,M,Scotland,HE Qualification,55<=,N,Pass,83.0
253,1352868,M,Yorkshire Region,A Level or Equivalent,35-55,N,Withdrawn,69.0
254,1352868,M,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,69.0
255,1401935,M,West Midlands Region,A Level or Equivalent,35-55,N,Fail,35.0
256,1402638,F,East Midlands Region,HE Qualification,35-55,N,Pass,76.0
257,1414443,F,Yorkshire Region,A Level or Equivalent,35-55,N,Fail,59.0
258,1456619,M,South West Region,A Level or Equivalent,35-55,N,Withdrawn,63.0
259,1456619,M,South West Region,A Level or Equivalent,35-55,N,Withdrawn,63.0
260,1465690,M,West Midlands Region,HE Qualification,35-55,N,Pass,82.0
261,1472925,F,East Anglian Region,Lower Than A Level,35-55,Y,Fail,62.0
262,1472925,F,East Anglian Region,Lower Than A Level,35-55,Y,Pass,62.0
263,1488959,M,London Region,A Level or Equivalent,35-55,N,Pass,62.0
264,1518989,F,South East Region,Lower Than A Level,35-55,N,Pass,73.0
265,1618738,M,London Region,Lower Than A Level,35-55,N,Pass,80.0
266,1620151,M,South Region,HE Qualification,35-55,N,Fail,78.0
267,1626710,M,North Western Region,A Level or Equivalent,35-55,N,Distinction,85.0
268,1640609,M,West Midlands Region,A Level or Equivalent,35-55,N,Pass,85.0
269,1686521,F,North Western Region,Lower Than A Level,35-55,N,Withdrawn,68.0
270,1729319,F,Scotland,HE Qualification,35-55,N,Pass,79.0
271,1746134,M,East Anglian Region,A Level or Equivalent,35-55,N,Pass,84.0
272,1758449,M,South Region,Lower Than A Level,35-55,N,Withdrawn,61.0
273,1765788,M,South East Region,HE Qualification,55<=,N,Pass,67.0
274,1801229,M,Ireland,HE Qualification,35-55,N,Pass,77.0
275,1801641,M,Scotland,A Level or Equivalent,35-55,N,Pass,78.0
276,1847830,M,South West Region,Lower Than A Level,35-55,N,Pass,71.0
277,1860318,M,South West Region,Lower Than A Level,35-55,Y,Pass,63.0
278,1889511,M,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,72.0
279,1889577,F,South Region,A Level or Equivalent,35-55,Y,Pass,74.0
280,1894188,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,71.0
281,1938355,M,South Region,A Level or Equivalent,35-55,N,Pass,73.0
282,1942396,F,East Anglian Region,Lower Than A Level,35-55,Y,Pass,54.0
283,1970390,M,West Midlands Region,Lower Than A Level,35-55,N,Withdrawn,84.0
284,1970390,M,West Midlands Region,Lower Than A Level,35-55,N,Pass,84.0
285,1976139,M,Ireland,Lower Than A Level,35-55,N,Pass,68.0
286,2011876,F,East Anglian Region,A Level or Equivalent,0-35,Y,Pass,76.0
287,2012966,M,North Western Region,Lower Than A Level,35-55,N,Pass,79.0
288,2051699,F,South West Region,Lower Than A Level,35-55,N,Pass,67.0
289,2062879,F,East Anglian Region,A Level or Equivalent,0-35,N,Fail,62.0
290,2065691,M,London Region,A Level or Equivalent,35-55,Y,Withdrawn,36.0
291,2073016,F,London Region,Lower Than A Level,35-55,N,Withdrawn,59.0
292,2073016,F,London Region,Lower Than A Level,35-55,N,Fail,59.0
293,2080474,F,South Region,A Level or Equivalent,35-55,N,Pass,70.0
294,2083877,F,West Midlands Region,A Level or Equivalent,0-35,N,Pass,68.0
295,2084066,F,South West Region,Lower Than A Level,35-55,N,Fail,60.0
296,2104505,M,West Midlands Region,Lower Than A Level,35-55,N,Pass,66.0
297,2122180,F,North Western Region,Lower Than A Level,35-55,N,Distinction,83.0
298,2139353,M,London Region,A Level or Equivalent,35-55,N,Withdrawn,67.0
299,2139353,M,London Region,A Level or Equivalent,35-55,N,Pass,67.0
300,2143752,F,South Region,Lower Than A Level,35-55,N,Pass,53.0
301,2146792,M,North Western Region,HE Qualification,55<=,N,Pass,70.0
302,2153153,F,Yorkshire Region,A Level or Equivalent,0-35,N,Pass,63.0
303,2155014,F,West Midlands Region,Lower Than A Level,0-35,Y,Pass,74.0
304,2164705,F,North Western Region,A Level or Equivalent,0-35,N,Fail,70.0
305,2171627,F,Yorkshire Region,A Level or Equivalent,35-55,N,Pass,69.0
306,2182846,F,London Region,A Level or Equivalent,35-55,N,Pass,66.0
307,2194100,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,68.0
308,2197016,F,North Western Region,HE Qualification,35-55,N,Pass,76.0
309,2208424,M,Scotland,A Level or Equivalent,0-35,N,Pass,72.0
310,2229865,F,West Midlands Region,A Level or Equivalent,35-55,N,Pass,77.0
311,2255601,F,South Region,A Level or Equivalent,35-55,N,Withdrawn,55.0
312,2268379,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,83.0
313,2278464,M,South Region,Lower Than A Level,35-55,N,Pass,52.0
314,2293923,M,South Region,A Level or Equivalent,0-35,N,Pass,62.0
315,2312620,F,East Midlands Region,HE Qualification,35-55,N,Withdrawn,32.0
316,2318055,M,Wales,A Level or Equivalent,35-55,N,Withdrawn,76.0
317,2318055,M,Wales,A Level or Equivalent,35-55,N,Pass,76.0
318,2329342,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,58.0
319,2339528,F,London Region,Lower Than A Level,0-35,N,Distinction,80.0
320,2342426,M,Yorkshire Region,Lower Than A Level,35-55,N,Fail,74.0
321,2344901,F,Yorkshire Region,A Level or Equivalent,0-35,N,Fail,52.0
322,2358056,F,North Region,HE Qualification,0-35,N,Fail,68.0
323,2358969,F,East Anglian Region,A Level or Equivalent,0-35,N,Withdrawn,69.0
324,2358969,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,69.0
325,2364471,F,Scotland,HE Qualification,0-35,Y,Pass,84.0
326,2367155,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,76.0
327,2369266,F,London Region,Lower Than A Level,35-55,N,Pass,51.0
328,2376496,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,74.0
329,2391984,M,South Region,A Level or Equivalent,0-35,N,Withdrawn,73.0
330,2411661,F,South Region,A Level or Equivalent,0-35,N,Fail,47.0
331,2411778,M,Scotland,HE Qualification,0-35,N,Withdrawn,80.0
332,2412002,M,South West Region,Lower Than A Level,35-55,N,Distinction,83.0
333,2412967,F,South Region,A Level or Equivalent,35-55,N,Pass,78.0
334,2429854,M,London Region,A Level or Equivalent,35-55,Y,Withdrawn,51.0
335,2429854,M,London Region,A Level or Equivalent,35-55,Y,Fail,51.0
336,2437837,F,North Region,A Level or Equivalent,0-35,N,Pass,75.0
337,2449878,F,East Midlands Region,A Level or Equivalent,0-35,N,Pass,61.0
338,2456480,M,Scotland,Lower Than A Level,35-55,N,Fail,25.0
339,2457256,M,South Region,Lower Than A Level,35-55,N,Pass,70.0
340,2458355,M,London Region,Lower Than A Level,35-55,N,Pass,91.0
341,2460080,M,Scotland,HE Qualification,55<=,N,Pass,79.0
342,2461190,M,South Region,HE Qualification,55<=,N,Fail,56.0
343,2469673,F,Yorkshire Region,Lower Than A Level,35-55,N,Fail,45.0
344,2470694,F,Scotland,HE Qualification,55<=,N,Withdrawn,67.0
345,2470694,F,Scotland,HE Qualification,55<=,N,Fail,67.0
346,2479954,M,North Western Region,A Level or Equivalent,0-35,N,Pass,80.0
347,2481901,M,Wales,Lower Than A Level,35-55,N,Pass,76.0
348,2482700,M,South Region,Lower Than A Level,0-35,N,Pass,56.0
349,2486127,F,East Anglian Region,HE Qualification,0-35,N,Pass,74.0
350,2498700,F,North Western Region,Lower Than A Level,0-35,N,Pass,78.0
351,2516503,M,South East Region,HE Qualification,35-55,N,Pass,80.0
352,2518069,M,East Midlands Region,A Level or Equivalent,0-35,N,Pass,77.0
353,2521459,F,London Region,Lower Than A Level,0-35,N,Pass,61.0
354,2523736,M,North Western Region,A Level or Equivalent,55<=,N,Pass,62.0
355,2529279,F,North Western Region,HE Qualification,35-55,N,Pass,78.0
356,2532302,F,East Anglian Region,A Level or Equivalent,0-35,N,Pass,64.0
357,2536991,M,South Region,HE Qualification,55<=,N,Distinction,81.0
358,2550279,F,North Region,HE Qualification,35-55,N,Pass,63.0
359,2551220,F,South Region,Lower Than A Level,0-35,N,Pass,65.0
360,2552472,F,South Region,HE Qualification,35-55,N,Withdrawn,54.0
361,2555340,F,South Region,HE Qualification,35-55,N,Pass,81.0
362,2557283,M,Yorkshire Region,HE Qualification,55<=,N,Pass,82.0
363,2559575,M,South West Region,Lower Than A Level,0-35,N,Pass,72.0
364,2562034,M,East Anglian Region,A Level or Equivalent,0-35,N,Pass,66.0
365,2566163,F,South Region,A Level or Equivalent,0-35,N,Pass,72.0
366,2566592,F,South Region,A Level or Equivalent,35-55,N,Pass,72.0
367,2569324,M,South Region,A Level or Equivalent,0-35,N,Withdrawn,72.0
368,2569324,M,South Region,A Level or Equivalent,0-35,N,Pass,72.0
369,2574528,M,Ireland,HE Qualification,35-55,N,Pass,76.0
370,2574583,M,Yorkshire Region,Lower Than A Level,35-55,N,Pass,71.0
371,2576122,M,North Western Region,A Level or Equivalent,0-35,N,Withdrawn,64.0
372,2576122,M,North Western Region,A Level or Equivalent,35-55,N,Fail,64.0
373,2578995,F,West Midlands Region,A Level or Equivalent,0-35,Y,Pass,80.0
374,2586560,F,East Anglian Region,Lower Than A Level,35-55,N,Pass,74.0
375,2594139,F,South West Region,A Level or Equivalent,0-35,N,Pass,76.0
376,2598871,F,East Anglian Region,A Level or Equivalent,35-55,N,Pass,73.0
377,2599352,F,Scotland,A Level or Equivalent,0-35,N,Pass,77.0
